"","Normal","Tumor"
"ENSG00000009954.11",0.437551,2.80988
"ENSG00000010017.13",0,6.298197
"ENSG00000010030.14",0,1.35356
"ENSG00000010072.16",19.24529,2.164661
"ENSG00000010165.20",0.981043,0.20777
"ENSG00000010219.14",71.910987,8.9715
"ENSG00000010244.19",5.860299,10.709306
"ENSG00000010256.12",1.71156,12.394024
"ENSG00000010270.14",1.884713,2.390689
"ENSG00000010278.15",10.207024,4.131445
"ENSG00000010282.15",0,3.684792
"ENSG00000010292.13",6.33983,2.92533
"ENSG00000010295.20",1.657912,3.527852
"ENSG00000010310.9",3.866514,10.468252
"ENSG00000010318.22",15.374324,3.885602
"ENSG00000010319.7",0.270512,0.409354
"ENSG00000010322.16",27.96157,10.37942
"ENSG00000010327.10",33.188611,1.781393
"ENSG00000010361.14",0,2.437659
"ENSG00000010379.16",6.022127,6.510663
"ENSG00000010404.18",26.622443,17.946566
"ENSG00000010438.17",33.881946,1.524122
"ENSG00000010539.12",4.21033,7.719322
"ENSG00000010610.10",0.916586,3.190963
"ENSG00000010626.15",0,8.009638
"ENSG00000010671.18",76.120643,57.864171
"ENSG00000010704.20",54.893723,27.029235
"ENSG00000010803.17",0.640976,1.301691
"ENSG00000010810.18",22.06422,5.394501
"ENSG00000010818.11",3.79104,1.573655
"ENSG00000010932.17",0.36576,0.672181
"ENSG00000011007.13",0.139946,3.207286
"ENSG00000011009.12",0.925681,3.051297
"ENSG00000011021.23",34.715957,17.772091
"ENSG00000011028.14",0.217349,3.083006
"ENSG00000011052.21",0,0
"ENSG00000011083.9",2.599452,2.270995
"ENSG00000011105.14",0.477059,4.105885
"ENSG00000011114.15",17.018967,12.389633
"ENSG00000011132.12",2.464068,1.813278
"ENSG00000011143.19",48.86867,33.002464
"ENSG00000011198.10",2.027133,2.576232
"ENSG00000011201.12",7.097962,0.430212
"ENSG00000011243.19",0.175406,4.295978
"ENSG00000011258.16",2.67722,1.849548
"ENSG00000011260.14",0,1.298311
"ENSG00000011275.19",3.948113,10.911924
"ENSG00000011295.16",41.533908,23.935014
"ENSG00000011304.22",2.689109,5.752762
"ENSG00000011332.22",3.389323,4.785562
"ENSG00000011347.10",2.297938,0.741316
"ENSG00000011376.12",6.200266,3.528264
"ENSG00000011405.14",1.233926,0.67538
"ENSG00000011422.12",6.562674,11.404514
"ENSG00000011426.11",0.701532,2.962757
"ENSG00000011451.21",8.43123,2.988541
"ENSG00000011454.18",8.997536,11.644543
"ENSG00000011465.18",19.342115,6.945061
"ENSG00000011478.13",42.853211,29.603274
