"","Normal","Tumor"
"ENSG00000016391.11",7.51609492186151,7.17699773100232
"ENSG00000016402.14",6.35892059913101,5.87474618949767
"ENSG00000016602.9",6.10516594049618,5.93899064804113
"ENSG00000016864.19",6.16996752233874,5.96389567324893
"ENSG00000017260.20",5.79800839751703,6.53016223166944
"ENSG00000017483.16",5.92519103030163,6.24482913352793
"ENSG00000017797.13",7.31759347095909,6.69978823581642
"ENSG00000018189.13",6.91267076847173,6.83909158183887
"ENSG00000018236.15",6.24608914258162,6.08768336826799
"ENSG00000018280.18",6.77277789086209,7.02259622688582
"ENSG00000018408.15",6.14339414874715,6.65915843768284
"ENSG00000018510.18",7.31439563047154,7.12900059661632
"ENSG00000018610.15",7.89918582661789,7.6328625434016
"ENSG00000018625.15",6.27075839148207,6.64895100561472
"ENSG00000018699.13",6.42886735964359,5.84226515374592
"ENSG00000019144.20",8.0519986843104,7.73959627301362
"ENSG00000019186.10",5.49609511135629,6.30462110263836
"ENSG00000019485.14",6.48069180459086,6.60770526367458
"ENSG00000019505.8",6.32591500207647,6.03012358968018
"ENSG00000019582.17",8.35549893196714,8.33120083638119
"ENSG00000019991.18",6.43167768620127,6.30739721314752
"ENSG00000019995.6",5.9622630813217,6.40498726485197
"ENSG00000020129.16",6.18461284313151,6.23282344511154
"ENSG00000020181.18",6.12159162804503,6.13283872333044
"ENSG00000020219.9",6.10459460959557,5.8400224475539
"ENSG00000020256.20",5.85738654073042,6.68343049177766
"ENSG00000020426.11",6.0120824843248,6.27187006909865
"ENSG00000020577.14",6.16835662222214,6.65398097382258
"ENSG00000020633.19",6.0344703125482,6.49782212687323
"ENSG00000020922.13",7.72447822908789,7.71243083975131
"ENSG00000021300.14",6.10410881139654,5.97013512398844
"ENSG00000021355.13",6.50602842579336,6.24692434500617
"ENSG00000021461.18",6.54636721275977,6.21382746649645
"ENSG00000021488.13",6.46191681443327,6.41660243152756
"ENSG00000021574.15",8.46572869594694,8.48708151847181
"ENSG00000021645.20",6.9791620933932,7.37680105859869
"ENSG00000021776.11",6.28597132867386,7.16711070886828
"ENSG00000021826.18",7.64972459262493,8.18654748579801
"ENSG00000021852.14",5.89646139202601,6.05508221331213
"ENSG00000022277.13",6.01088389601234,6.08967108380729
"ENSG00000022355.18",6.22348492137609,6.55850833445576
"ENSG00000022556.16",6.92268031705209,6.59714703723199
"ENSG00000022567.10",6.14079327403061,6.79752301091599
"ENSG00000022840.17",7.25578421606621,7.05307953318599
"ENSG00000022976.16",7.45369352654964,6.92972044339899
"ENSG00000023041.12",7.34652948554797,7.10047280739675
"ENSG00000023171.20",6.20893577296369,6.8331475218744
"ENSG00000023191.17",6.76586384926943,6.57834334206636
"ENSG00000023228.15",7.42238030806766,8.05056811418716
"ENSG00000023287.13",5.91308398782986,5.87677146438043
"ENSG00000023318.9",6.91750627842617,7.10191152544587
"ENSG00000023330.15",5.49609511135629,6.17795343156733
"ENSG00000023445.17",6.44455284230594,6.69898399648054
"ENSG00000023516.9",6.68971652396503,6.41270874556646
"ENSG00000023572.10",6.50278864668442,6.22065291675329
"ENSG00000023608.5",6.06044496450445,6.17869859508297
"ENSG00000023734.11",6.14563310400565,6.08111512669887
"ENSG00000023839.12",6.92198318322551,5.93802951774203
"ENSG00000023892.12",6.46404454285355,6.51417265289814
"ENSG00000023902.14",6.26268253946378,6.68100847773215
"ENSG00000023909.10",6.80363014335992,6.95944424662704
"ENSG00000024048.11",5.68630154359694,6.52991307976716
"ENSG00000024422.12",6.59290817883182,5.91327420231853
"ENSG00000024526.17",6.53515509673653,5.7965013820763
"ENSG00000025039.15",5.84476028647641,6.23440842596276
"ENSG00000025156.13",6.35993773266483,5.86327848085875
"ENSG00000025293.17",6.9800824744813,7.18315865537634
"ENSG00000025423.11",5.49609511135629,6.14942104405502
"ENSG00000025434.19",5.94949064171152,6.3769786855159
"ENSG00000025708.14",5.90514792630283,6.96434423970491
"ENSG00000025770.19",6.37240980318459,6.11116908630254
"ENSG00000025796.14",6.197278878875,6.56150432186144
"ENSG00000025800.14",7.5160658009987,7.58384400269271
"ENSG00000026025.16",6.54415399954439,6.19145690275147
"ENSG00000026036.23",5.89556916487015,6.45480882169685
"ENSG00000026103.25",8.72419938499025,8.17983773800892
"ENSG00000026297.17",7.95334438245673,8.20453027165399
"ENSG00000026508.21",6.50730463956577,6.55654180355695
"ENSG00000026559.14",7.81709133057959,7.33687469887588
"ENSG00000026652.15",6.17280357877268,7.14719474158554
"ENSG00000026751.17",7.02978402949814,6.78644576364628
"ENSG00000026950.17",6.67952711171946,6.0768169019484
"ENSG00000027001.10",5.83257177284862,6.07242751637045
"ENSG00000027075.17",6.04722878737861,6.13508874952856
"ENSG00000027644.5",6.10537836890773,6.20562429535622
"ENSG00000027697.16",5.94574421723519,6.13685563476676
"ENSG00000027847.14",6.11724296990337,6.53598160661341
"ENSG00000028137.19",6.40858259064238,6.43308573511576
"ENSG00000028203.19",7.23482186572877,6.75973564636129
"ENSG00000028277.22",5.9861817632536,6.64968571239638
"ENSG00000028310.18",6.83734522492401,6.60619685978862
"ENSG00000028528.15",6.59565307512676,6.93055407214692
"ENSG00000028839.10",5.49609511135629,6.20525841201854
"ENSG00000029153.15",7.21891228997798,6.92437125339732
"ENSG00000029363.17",6.29977184963638,6.3641619324549
"ENSG00000029364.12",6.14269859733846,6.5713101423246
"ENSG00000029534.22",5.97180143500636,6.46658664902254
"ENSG00000029725.17",6.26743740353506,6.17624462873334
"ENSG00000029993.15",6.53629528382511,6.64203580974331
"ENSG00000030066.14",6.51712824489612,6.99767980906794
"ENSG00000030304.15",6.18343109138479,6.6258573232861
"ENSG00000030419.17",6.3361218847975,6.18486481210236
"ENSG00000031003.11",6.38311901306964,6.50537638318719
"ENSG00000031081.11",6.28991571024944,6.39230945745213
"ENSG00000031698.13",5.91412597013569,6.24916323965459
"ENSG00000031823.14",6.39689946377881,6.20830995370451
"ENSG00000032219.19",5.99818890720348,6.3505275431447
"ENSG00000032389.13",5.91352480055513,6.12357755403997
"ENSG00000032444.17",5.84554599260759,6.10895756711651
"ENSG00000032742.18",6.24593480611392,6.56608070553696
"ENSG00000033011.14",8.07260766690207,8.01642448908331
"ENSG00000033030.16",7.52169562952069,7.74302590981894
"ENSG00000033050.9",5.9846103391651,6.80567223993835
"ENSG00000033100.17",6.30239974905705,6.1582829565329
"ENSG00000033122.21",9.25006073224702,9.03774707990042
"ENSG00000033170.17",8.20520233329095,7.62684408990904
"ENSG00000033178.13",6.3201744910373,6.65871185349072
"ENSG00000033327.13",5.49609511135629,6.14942104405502
"ENSG00000033627.18",7.52003674339002,7.06725867022105
